Id,Label,isseed,seedrank,publishedat,duration,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,componentnumber,hasmisinformation,misinformationcode,brandad
lg5NQhfCfoI,VACINAS e crimes contra a humanidade,,,,00:04:43,aphomeopatiaTV,UCTGVdd_qB7Rz4X4oAKZ0kyg,People & Blogs,1192,16,2,,0,,0,Y,C; L; N; O; E; A,
fPrvGLWITS0,''Vacinas'' transhumanistas,,,,00:01:01,aphomeopatiaTV,UCTGVdd_qB7Rz4X4oAKZ0kyg,People & Blogs,163,5,2,,0,,0,Y,N; O,
b_epkXU_pg0,"VACINA HOMEOPÁTICA - Ah, isso existe?",,,,00:02:55,aphomeopatiaTV,UCTGVdd_qB7Rz4X4oAKZ0kyg,People & Blogs,1918,5,4,,0,2,0,Y,A; G; L; E; H; D,
HqjjuaLLACY,VACINA ANTI-CÂNCER EXISTE? | Medicina Ortomolecular,,,,00:09:04,Dr J Bussade,UCOX1xjMcnZVmV-yx0VC6Fvg,People & Blogs,1907,220,1,,0,16,0,Y,L,
mLbD7NQzUBc,VACINAS SÃO ASSASSINAS E PERIGOSAS. - PROGRAMA FALA ES.,,,,00:11:01,Capixaba Otário,UCNMwzMh0MW_J_nK9kMS4ldg,People & Blogs,70017,1000,108,,0,353,0,Y,E; C; A; N; H; D; J; O,
nSZ3KFPnuvo,A importância da vacinação,,,,00:08:27,Criar e Crescer,UCgbbjw8zPkrmmL_XU1SgJBg,Education,6585,308,4,,0,25,0,Y,N ,
qc_fzeOJ0uk,Organização Mundial da Saúde Registos RSI Vacinação,,,,00:01:07,Paulo Almeida,UCKfap1xgEqqAhN7jtYgDsYg,Entertainment,21,,,,0,,0,Y,A; J; N,
nlmrbytZh4A,VACINA DA FEBRE AMARELA!!! Devemos Tomar??? E Como Erradicar??? Dr. Lair Ribeiro Responde!!!,,,,00:14:27,SAÚDE & BEM ESTAR,UCe1XNXkGImWSq5n4wkzNjBw,People & Blogs,5089,408,5,,0,80,0,Y,H; O,Christen in not; Eucerin; Fiat; Vileda
J3E_EPWRu38,Vacinados contra sarampo pega a doença e ainda contaminam outros imunizados.,,,,00:08:24,Ana Paula Palagar,UCLr31O2rNob_pzh1UnPcNOg,Entertainment,271,62,,,0,12,0,Y,A; B; J,5econds; Adler Pharma
EI5s35zohtk,PORQUE ELES NÃO FALAM A VERDADE? DOENÇAS PROPAGANAS NAS VACINAS E ALIMENTAÇÃO.,,,,00:21:03,Ana Paula Palagar,UCLr31O2rNob_pzh1UnPcNOg,Entertainment,1175,216,2,,0,41,0,Y,E; A; N; L,Baumdick; The online traveller
YDmo-Jd8V0s,VACINA CONTRA GRIPE/ MITOS E VERDADES,,,,00:12:08,Ana Paula Palagar,UCLr31O2rNob_pzh1UnPcNOg,Entertainment,14651,1100,42,,0,162,0,Y,O; E; A; C,
lVXVSNm7fUs,VACINAS: Você acredita Nelas?,,,,00:51:09,Ana Paula Palagar,UCLr31O2rNob_pzh1UnPcNOg,Entertainment,273,56,3,,0,3,0,Y,A; N; C; E; O; D; J,
oFE0yu_S45s,A Ditadura Da Vacina Não Para.,,,,00:46:21,Ana Paula Palagar,UCLr31O2rNob_pzh1UnPcNOg,Entertainment,512,141,2,,0,10,0,Y,N; O; E; C; A; D; H; L,
0aO_gdkkBlM,Novo estudo sobre vacinas conclui que elas causam comportamento anti-social,,,,00:12:45,Ana Paula Palagar,UCLr31O2rNob_pzh1UnPcNOg,Entertainment,353,100,2,,0,25,0,Y,N; E; D; O; H; A,
qp11atE3auE,vacina hpv,,,,00:09:18,Ana Paula Palagar,UCLr31O2rNob_pzh1UnPcNOg,Entertainment,200,29,,,0,4,0,Y,D; N; O; G; H,
Qm3BcfyR1n4,vacinas são armas biológicas,,,,00:16:15,Ana Paula Palagar,UCLr31O2rNob_pzh1UnPcNOg,Entertainment,3521,126,6,,0,14,0,Y,O; C; D; E; N; A,
Y2p5hkqFXWA,Gripe Suína A Tragédia da Vacina que Pode se Repetir.wmv,,,,00:07:43,Carlos Iafelice Junior,UCkYT8YPzCP0bGJkO6RBeRuA,Education,3605,6,1,,0,,0,Y,D; A; N,
wgxSXrhB5Yk,Cientistas e Enfermeiras recusam a tomar a Vacina para a Gripe A proposta de Quarentena,,,,00:04:33,Carlos Iafelice Junior,UCkYT8YPzCP0bGJkO6RBeRuA,Education,934,3,,,0,,0,Y,A; P; E; C; O,
tCA1OSWEors,Vacinas obrigatórias: Elas são confiáveis? O que há por trás da vacina da febre amarela?,,,,00:10:09,Ezequiel Cordeiro - Hora Final,UCl4swlkSKDinuw5w5S77m8A,People & Blogs,5222,421,13,,0,63,0,Y,L; J; E; D; A; N; H; F; I; O,Eucerin
